id,company_id,data_point,date_of_data,internal_company_id,report_type,created_by,created_date,last_modified_by,last_modified_date
314771,19900,0.847619047619048,2023-01-16,93,5,BATCH,2023-01-16 23:04:41.3580000,BATCH,2023-01-16 23:04:41.3580000
314645,23199,0.512820512820513,2023-01-16,94,5,BATCH,2023-01-16 23:04:29.9660000,BATCH,2023-01-16 23:04:29.9660000
314445,23199,0.512820512820513,2023-01-15,94,5,BATCH,2023-01-15 23:03:26.7070000,BATCH,2023-01-15 23:03:26.7070000
314401,19900,0.876190476190476,2023-01-15,93,5,BATCH,2023-01-15 23:03:24.9830000,BATCH,2023-01-15 23:03:24.9830000
314492,20919,0.653179190751445,2023-01-15,95,5,BATCH,2023-01-15 23:03:31.1610000,BATCH,2023-01-15 23:03:31.1610000
314143,20919,0.739884393063584,2023-01-14,95,5,BATCH,2023-01-14 23:03:17.0400000,BATCH,2023-01-14 23:03:17.0400000
314196,19900,0.961904761904762,2023-01-14,93,5,BATCH,2023-01-14 23:03:20.3920000,BATCH,2023-01-14 23:03:20.3920000
314186,23199,0.512820512820513,2023-01-14,94,5,BATCH,2023-01-14 23:03:20.0690000,BATCH,2023-01-14 23:03:20.0690000
313951,23199,0.512820512820513,2023-01-13,94,5,BATCH,2023-01-13 23:02:57.7580000,BATCH,2023-01-13 23:02:57.7580000
313875,19900,0.933333333333333,2023-01-13,93,5,BATCH,2023-01-13 23:02:54.6020000,BATCH,2023-01-13 23:02:54.6020000
313998,20919,0.774566473988439,2023-01-13,95,5,BATCH,2023-01-13 23:03:02.2100000,BATCH,2023-01-13 23:03:02.2100000
313694,20919,0.774566473988439,2023-01-12,95,5,BATCH,2023-01-12 23:02:51.8970000,BATCH,2023-01-12 23:02:51.8970000
313733,19900,0.942857142857143,2023-01-12,93,5,BATCH,2023-01-12 23:02:55.6410000,BATCH,2023-01-12 23:02:55.6410000
313657,23199,0.512820512820513,2023-01-12,94,5,BATCH,2023-01-12 23:02:48.3220000,BATCH,2023-01-12 23:02:48.3220000
313440,23199,0.538461538461538,2023-01-11,94,5,BATCH,2023-01-11 23:02:26.9440000,BATCH,2023-01-11 23:02:26.9440000
313455,19900,0.942857142857143,2023-01-11,93,5,BATCH,2023-01-11 23:02:27.4280000,BATCH,2023-01-11 23:02:27.4280000
313481,20919,0.774566473988439,2023-01-11,95,5,BATCH,2023-01-11 23:02:29.3760000,BATCH,2023-01-11 23:02:29.3760000
313165,20919,0.861271676300578,2023-01-10,95,5,BATCH,2023-01-10 23:02:25.1420000,BATCH,2023-01-10 23:02:25.1420000
313258,19900,0.942857142857143,2023-01-10,93,5,BATCH,2023-01-10 23:02:32.2110000,BATCH,2023-01-10 23:02:32.2110000
313211,23199,0.717948717948718,2023-01-10,94,5,BATCH,2023-01-10 23:02:30.1840000,BATCH,2023-01-10 23:02:30.1840000
312866,23199,0.717948717948718,2023-01-09,94,5,BATCH,2023-01-09 23:02:25.1160000,BATCH,2023-01-09 23:02:25.1160000
312871,19900,0.914285714285714,2023-01-09,93,5,BATCH,2023-01-09 23:02:25.2860000,BATCH,2023-01-09 23:02:25.2860000
312939,20919,0.861271676300578,2023-01-09,95,5,BATCH,2023-01-09 23:02:30.4190000,BATCH,2023-01-09 23:02:30.4190000
312715,20919,0.867052023121387,2023-01-08,95,5,BATCH,2023-01-08 23:02:11.4800000,BATCH,2023-01-08 23:02:11.4800000
312606,19900,0.866666666666667,2023-01-08,93,5,BATCH,2023-01-08 23:02:02.1320000,BATCH,2023-01-08 23:02:02.1320000
312660,23199,0.710526315789474,2023-01-08,94,5,BATCH,2023-01-08 23:02:04.7140000,BATCH,2023-01-08 23:02:04.7140000
312400,23199,0.710526315789474,2023-01-07,94,5,BATCH,2023-01-07 23:01:39.5400000,BATCH,2023-01-07 23:01:39.5400000
312462,19900,0.876190476190476,2023-01-07,93,5,BATCH,2023-01-07 23:01:42.2780000,BATCH,2023-01-07 23:01:42.2780000
312374,20919,0.803468208092486,2023-01-07,95,5,BATCH,2023-01-07 23:01:36.7400000,BATCH,2023-01-07 23:01:36.7400000
312213,20919,0.803468208092486,2023-01-06,95,5,BATCH,2023-01-06 23:01:21.3470000,BATCH,2023-01-06 23:01:21.3470000
312123,19900,0.876190476190476,2023-01-06,93,5,BATCH,2023-01-06 23:01:15.2990000,BATCH,2023-01-06 23:01:15.2990000
312167,23199,0.710526315789474,2023-01-06,94,5,BATCH,2023-01-06 23:01:17.1180000,BATCH,2023-01-06 23:01:17.1180000
